failure_type,Date,regime,model_name,feature_set,y_true,y_pred,y_pred_proba,threshold,signal,return_next_day,strategy_return_net,headline_count,vix,daily_text_snippet
classification_error,2022-04-08,2022-2023 rate-hike cycle,XGB,all,0,1,0.580433170000712,0.5,1,-0.0168772892956767,-0.0168772892956767,6,21.16,"1 ETF I'm Stocking Up On If the Market Crashes . Dow gains, S&P 500 ends lower as market weighs Fed rate hikes . S&P 500 & Sectors: ROIC Vs. WACC Through 4Q21: ROIC Rockets Higher To New High . S&P 500 Likely to Report Earnings Growth of More Than 10% for Fifth Straight Quarter ."
classification_error,2022-08-04,2022-2023 rate-hike cycle,XGB,all,0,1,0.5795261263847351,0.5,1,-0.0016257460367924,-0.0016257460367924,9,21.44,FAANG Stocks Sales Are Slipping - RIA . Has the Stock Market Hit Bottom? Experts Share Their Top Investment Ideas . Meta Makes Bond-Market Debut With Four-Part Offering . Nightshare ETFs Trying to Make Investors Money Overnight Stumble . S&P 500 annual returns over the past 25 ye
classification_error,2022-10-11,2022-2023 rate-hike cycle,XGB,all,0,1,0.5762165983517965,0.5,1,-0.0032907569019515,-0.0032907569019515,6,33.63,"9 Companies Wield A Secret Weapon Against Inflation And The Fed . Jamie Dimon's S&P 500 Bear Market: Brutal, Far From Unimaginable . Nasdaq registers lowest close since July 2020; chips stocks fall . S&P 500 closes lower, notches 5-day losing streak ahead of key inflation report "
classification_error,2022-11-01,2022-2023 rate-hike cycle,XGB,all,0,1,0.5752177437146505,0.5,1,-0.0250019449703067,-0.0250019449703067,7,25.81,"A Risky Trading Strategy Is Growing in Popularity in 2022's Wild Market . Delphia Launches Investment Strategy that Aims to Beat the S&P 500 . How The 60/40 Portfolio Stacks Up With The S&P 500 - SPDR S&P 500 (ARCA:SPY) . Stock Market News for Nov 1, 2022 . These 5 Equal-Weight S"
classification_error,2022-11-18,2022-2023 rate-hike cycle,XGB,all,0,1,0.5774951179822286,0.5,1,-0.0038836518432215,-0.0038836518432215,4,23.12,"Bob Pisani: Heeding the investment wisdom of Jack Bogle starts with keeping it simple . How Apple Stock Continues To Impressively Outperform . S&P 500 closes higher on Friday, but ends week with losses . Warren Buffett Makes All His Money From Just 11 Stocks"
classification_error,2023-02-02,2022-2023 rate-hike cycle,XGB,all,0,1,0.5822418133417765,0.5,1,-0.0103546615116658,-0.0103546615116658,17,18.73,"'Big Short' Michael Burry Bets on a Stock Market Crash . Biden's Stock Market Is Nearly Identical to Trump's . Bitcoin, S&P 500 Close In on Bullish 'Golden Cross' Signal . Expect More Stock-Market Gains in 2023 As Bullish Bond Signal Flashes . Just 10 Stocks Drive Half The Year's"
classification_error,2023-03-27,2022-2023 rate-hike cycle,XGB,all,0,1,0.5808121959368387,0.5,1,-0.0015738410521103,-0.0015738410521103,12,20.6,"11 stocks in the S&P 500 expected to form an exclusive growth club for investors . 3 ETFs That Will Reduce Your Banking Sector Exposure . 5 Charts to Understand the Fed's Liquidity Injection and Its Effect on Markets . A break above $2,100 would give gold a fresh upside target of"
classification_error,2023-07-31,2022-2023 rate-hike cycle,XGB,all,0,1,0.5747233231862386,0.5,1,-0.0026650918726683,-0.0026650918726683,19,13.63,"10 Most Oversold S&P 500 Stocks Right Now . Citi hikes S&P 500 price target: This is when it expects it to hit 5000 By Investing.com . Citigroup lifts S&P 500's year-end target to 4600 . Dow Jones, Nasdaq, S&P 500 weekly preview: Citi boosts SPX target . Jeremy Siegel Says Stocks"
classification_error,2023-12-19,2022-2023 rate-hike cycle,XGB,all,0,1,0.5776971181233724,0.5,1,-0.014684263175886,-0.014684263175886,16,12.53,"Dow climbs to fifth straight record close as rate-cut hopes underpin sentiment . Dow closes more than 470 points lower Wednesday to snap 9-day win streak: Live updates . Enphase Energy’s stock surges to pace the S&P 500’s gainers, as job cuts are seen as a good thing . Fund manag"
classification_error,2024-01-29,Other,XGB,all,0,1,0.5762420892715454,0.5,1,-0.0006006578827215,-0.0006006578827215,9,13.6,"Are the “Magnificent 7” the Top Contributors to Earnings for the S&P 500 for Q4? . Dow, S&P 500 close Monday at record highs . Frequently asked questions: Options on S&P 500 Annual Dividend Index futures . S&P 500 Gains and Losses Today: Index Hits Record Ahead of Tech Earnings, "
